team,season,week,off_plays,off_epa_per_play,off_success_rate,def_plays,def_epa_per_play_allowed,def_success_allowed,neutral_plays,neutral_pass_plays,neutral_pass_rate,league_neutral_pass_rate,proe,pace_plays,off_epa_per_play_4w,off_success_rate_4w,def_epa_per_play_allowed_4w,def_success_allowed_4w,pace_plays_4w,proe_4w,off_pass_attempts,off_rush_attempts,off_dropbacks
ARI,1999,1,115,-0.08480485166957621,0.3739130434782609,84,-0.17062153751968936,0.4166666666666667,8,4,0.5,0.5080058224163028,-0.008005822416302766,115,-0.08480485166957621,0.3739130434782609,-0.17062153751968936,0.4166666666666667,115.0,-0.008005822416302766,54,33,50
ATL,1999,1,75,-0.06325843373535484,0.41333333333333333,93,0.010994877017901774,0.3870967741935484,12,7,0.5833333333333334,0.5080058224163028,0.0753275109170306,75,-0.06325843373535484,0.41333333333333333,0.010994877017901774,0.3870967741935484,75.0,0.0753275109170306,39,20,33
BUF,1999,1,91,-0.15148760471380981,0.3956043956043956,87,0.02718721856495659,0.3793103448275862,17,10,0.5882352941176471,0.5080058224163028,0.08022947170134431,91,-0.15148760471380981,0.3956043956043956,0.02718721856495659,0.3793103448275862,91.0,0.08022947170134431,57,11,47
CAR,1999,1,77,-0.31216658269618336,0.42857142857142855,97,-0.16880911011504424,0.30927835051546393,26,14,0.5384615384615384,0.5080058224163028,0.03045571604523567,77,-0.31216658269618336,0.42857142857142855,-0.16880911011504424,0.30927835051546393,77.0,0.03045571604523567,41,15,39
CHI,1999,1,106,-0.14131705129964303,0.41509433962264153,88,-0.014484234372786233,0.36363636363636365,23,13,0.5652173913043478,0.5080058224163028,0.05721156888804502,106,-0.14131705129964303,0.41509433962264153,-0.014484234372786233,0.36363636363636365,106.0,0.05721156888804502,51,25,47
CIN,1999,1,107,0.1445473591902277,0.4766355140186916,79,0.10070444592678827,0.5443037974683544,30,18,0.6,0.5080058224163028,0.09199417758369721,107,0.1445473591902277,0.4766355140186916,0.10070444592678827,0.5443037974683544,107.0,0.09199417758369721,52,31,36
CLE,1999,1,44,-0.5364432746024578,0.3409090909090909,112,0.22817925042723822,0.5267857142857143,7,4,0.5714285714285714,0.5080058224163028,0.06342274901226863,44,-0.5364432746024578,0.3409090909090909,0.22817925042723822,0.5267857142857143,44.0,0.06342274901226863,20,8,19
DAL,1999,1,114,0.2318886827389667,0.4824561403508772,96,0.1670705197942944,0.5,30,19,0.6333333333333333,0.5080058224163028,0.12532751091703054,114,0.2318886827389667,0.4824561403508772,0.1670705197942944,0.5,114.0,0.12532751091703054,55,33,50
DEN,1999,1,96,0.007496305048378542,0.4375,73,0.2724160738177169,0.5753424657534246,27,15,0.5555555555555556,0.5080058224163028,0.047549733139252814,96,0.007496305048378542,0.4375,0.2724160738177169,0.5753424657534246,96.0,0.047549733139252814,46,26,42
DET,1999,1,93,-0.029266031148401112,0.3978494623655914,81,-0.17037914161230303,0.37037037037037035,17,6,0.35294117647058826,0.5080058224163028,-0.1550646459457145,93,-0.029266031148401112,0.3978494623655914,-0.17037914161230303,0.37037037037037035,93.0,-0.1550646459457145,33,34,31
GB,1999,1,91,0.02322895260432076,0.45054945054945056,97,0.015283237704886083,0.35051546391752575,35,18,0.5142857142857142,0.5080058224163028,0.006279891869411469,91,0.02322895260432076,0.45054945054945056,0.015283237704886083,0.35051546391752575,91.0,0.006279891869411469,50,19,47
IND,1999,1,87,0.02718721856495659,0.3793103448275862,91,-0.15148760471380981,0.3956043956043956,19,9,0.47368421052631576,0.5080058224163028,-0.034321611889987,87,0.02718721856495659,0.3793103448275862,-0.15148760471380981,0.3956043956043956,87.0,-0.034321611889987,34,28,33
JAX,1999,1,89,0.042043221321518345,0.449438202247191,86,-0.3948484868525945,0.27906976744186046,28,11,0.39285714285714285,0.5080058224163028,-0.11514867955915992,89,0.042043221321518345,0.449438202247191,-0.3948484868525945,0.27906976744186046,89.0,-0.11514867955915992,37,30,33
KC,1999,1,88,-0.014484234372786233,0.36363636363636365,106,-0.14131705129964303,0.41509433962264153,29,15,0.5172413793103449,0.5080058224163028,0.009235556894042096,88,-0.014484234372786233,0.36363636363636365,-0.14131705129964303,0.41509433962264153,88.0,0.009235556894042096,44,17,43
LV,1999,1,97,0.015283237704886083,0.35051546391752575,91,0.02322895260432076,0.45054945054945056,49,20,0.40816326530612246,0.5080058224163028,-0.09984255711018031,97,0.015283237704886083,0.35051546391752575,0.02322895260432076,0.45054945054945056,97.0,-0.09984255711018031,37,32,35
MIA,1999,1,73,0.2724160738177169,0.5753424657534246,96,0.007496305048378542,0.4375,20,8,0.4,0.5080058224163028,-0.10800582241630274,73,0.2724160738177169,0.5753424657534246,0.007496305048378542,0.4375,73.0,-0.10800582241630274,24,32,20
MIN,1999,1,93,0.010994877017901774,0.3870967741935484,75,-0.06325843373535484,0.41333333333333333,23,13,0.5652173913043478,0.5080058224163028,0.05721156888804502,93,0.010994877017901774,0.3870967741935484,-0.06325843373535484,0.41333333333333333,93.0,0.05721156888804502,39,30,32
NE,1999,1,84,0.01890676242006842,0.42857142857142855,90,-0.03168596071574237,0.37777777777777777,25,13,0.52,0.5080058224163028,0.011994177583697252,84,0.01890676242006842,0.42857142857142855,-0.03168596071574237,0.37777777777777777,84.0,0.011994177583697252,32,27,32
NO,1999,1,97,-0.16880911011504424,0.30927835051546393,77,-0.31216658269618336,0.42857142857142855,30,11,0.36666666666666664,0.5080058224163028,-0.14133915574963613,97,-0.16880911011504424,0.30927835051546393,-0.31216658269618336,0.42857142857142855,97.0,-0.14133915574963613,28,38,25
NYG,1999,1,86,-0.2350218007019043,0.313953488372093,90,-0.2954058028141306,0.35555555555555557,33,18,0.5454545454545454,0.5080058224163028,0.03744872303824265,86,-0.2350218007019043,0.313953488372093,-0.2954058028141306,0.35555555555555557,86.0,0.03744872303824265,32,20,27
NYJ,1999,1,90,-0.03168596071574237,0.37777777777777777,84,0.01890676242006842,0.42857142857142855,36,23,0.6388888888888888,0.5080058224163028,0.13088306647258607,90,-0.03168596071574237,0.37777777777777777,0.01890676242006842,0.42857142857142855,90.0,0.13088306647258607,45,24,43
PHI,1999,1,84,-0.17062153751968936,0.4166666666666667,115,-0.08480485166957621,0.3739130434782609,19,7,0.3684210526315789,0.5080058224163028,-0.13958476978472384,84,-0.17062153751968936,0.4166666666666667,-0.08480485166957621,0.3739130434782609,84.0,-0.13958476978472384,34,27,30
PIT,1999,1,112,0.22817925042723822,0.5267857142857143,44,-0.5364432746024578,0.3409090909090909,22,10,0.45454545454545453,0.5080058224163028,-0.053460367870848235,112,0.22817925042723822,0.5267857142857143,-0.5364432746024578,0.3409090909090909,112.0,-0.053460367870848235,35,55,32
SEA,1999,1,81,-0.17037914161230303,0.37037037037037035,93,-0.029266031148401112,0.3978494623655914,13,6,0.46153846153846156,0.5080058224163028,-0.0464673608778412,81,-0.17037914161230303,0.37037037037037035,-0.029266031148401112,0.3978494623655914,81.0,-0.0464673608778412,44,16,36
SF,1999,1,86,-0.3948484868525945,0.27906976744186046,89,0.042043221321518345,0.449438202247191,17,8,0.47058823529411764,0.5080058224163028,-0.037417587122185125,86,-0.3948484868525945,0.27906976744186046,0.042043221321518345,0.449438202247191,86.0,-0.037417587122185125,42,18,38
TB,1999,1,90,-0.2954058028141306,0.35555555555555557,86,-0.2350218007019043,0.313953488372093,34,17,0.5,0.5080058224163028,-0.008005822416302766,90,-0.2954058028141306,0.35555555555555557,-0.2350218007019043,0.313953488372093,90.0,-0.008005822416302766,45,26,45
TEN,1999,1,79,0.10070444592678827,0.5443037974683544,107,0.1445473591902277,0.4766355140186916,23,13,0.5652173913043478,0.5080058224163028,0.05721156888804502,79,0.10070444592678827,0.5443037974683544,0.1445473591902277,0.4766355140186916,79.0,0.05721156888804502,39,16,34
WAS,1999,1,96,0.1670705197942944,0.5,114,0.2318886827389667,0.4824561403508772,35,19,0.5428571428571428,0.5080058224163028,0.03485132044084005,96,0.1670705197942944,0.5,0.2318886827389667,0.4824561403508772,96.0,0.03485132044084005,42,31,36
ARI,1999,2,86,-0.17964009998710997,0.38372093023255816,91,-0.16578677032574893,0.37362637362637363,43,20,0.46511627906976744,0.4717741935483871,-0.0066579144786196864,86,-0.1322224758283431,0.37881698685540954,-0.16820415392271915,0.3951465201465202,100.5,-0.007331868447461226,42,26,30
ATL,1999,2,96,-0.24461905929984795,0.3645833333333333,87,-0.08782487495038402,0.3103448275862069,8,2,0.25,0.4717741935483871,-0.22177419354838712,96,-0.1539387465176014,0.3889583333333333,-0.03841499896624112,0.34872080088987767,85.5,-0.07322334131567826,43,25,41
BAL,1999,2,90,-0.05382542199961453,0.37777777777777777,101,0.00528025355495011,0.4158415841584158,43,21,0.4883720930232558,0.4717741935483871,0.01659789947486867,90,-0.05382542199961453,0.37777777777777777,0.00528025355495011,0.4158415841584158,90.0,0.01659789947486867,38,27,33
BUF,1999,2,96,-0.011339587685098929,0.375,70,-0.1383710269616653,0.34285714285714286,32,9,0.28125,0.4717741935483871,-0.19052419354838712,96,-0.08141359619945437,0.38530219780219777,-0.05559190419835436,0.3610837438423645,93.5,-0.055147360923521405,33,41,26
CAR,1999,2,70,0.1384041978922109,0.44285714285714284,102,0.1398560146886419,0.45098039215686275,27,12,0.4444444444444444,0.4717741935483871,-0.027329749103942702,70,-0.08688119240198623,0.4357142857142857,-0.014476547713201171,0.3801293713361633,73.5,0.001562983470646484,31,19,30
CHI,1999,2,108,-0.0732121521614124,0.37962962962962965,101,-0.04872168251510846,0.31683168316831684,36,17,0.4722222222222222,0.4717741935483871,0.00044802867383508804,108,-0.10726460173052771,0.3973619846261356,-0.031602958443947345,0.3402340234023402,107.0,0.028829798780940052,50,31,46
CIN,1999,2,79,-0.4020279526341473,0.379746835443038,92,0.0011970190961021886,0.41304347826086957,15,8,0.5333333333333333,0.4717741935483871,0.061559139784946204,79,-0.1287402967219598,0.42819117473086477,0.05095073251144523,0.47867363786461203,93.0,0.07677665868432171,41,15,36
CLE,1999,2,64,-0.006408430508825509,0.453125,99,0.14894265675264529,0.5050505050505051,0,0,,0.4717741935483871,,64,-0.27142585255564167,0.3970170454545454,0.18856095358994174,0.5159181096681097,54.0,0.06342274901226863,37,12,32
DAL,1999,2,87,-0.08782487495038402,0.3103448275862069,96,-0.24461905929984795,0.3645833333333333,11,4,0.36363636363636365,0.4717741935483871,-0.10813782991202348,87,0.07203190389429134,0.39640048396854205,-0.03877426975277677,0.43229166666666663,100.5,0.008594840502503531,30,37,23
